peer_comment_id,peer_submission_id,taiwan_peer_assignments_user_id,peer_comment_created_ts,peer_comment_text
"xxff46ABEeW3XQ5dKctpxw","iithAZdOEeW9ThKFn3E1-Q",9a766eaf9444c59a9bc7a51b9c77ec429b1e6ee7,2015-12-11 12:22:00.031,"看不到作业，只有一个循环的链接"
"t4J9Q6OtEeWG0xJGD15hdw","iithAZdOEeW9ThKFn3E1-Q",e7763a5e251891e3a8c41c660e6b9b9e0a67e7ad,2015-12-16 04:30:20.812,"？？"
"KA5TbaFuEeWjcBKYJq1ZMQ","iithAZdOEeW9ThKFn3E1-Q",57f09e53f5e88187cb5d680d966f2747b67b9bb2,2015-12-13 07:50:19.517,"看不到作业"
"dDjZ8X3fEeWHJBKabVDD0Q","sw1f_HkvEeWqXg7D-Kwb-Q",2360d068070278d2270335fc928d3fdea8cf07fc,2015-10-29 01:50:38.573,"感謝,煩請各位幫忙打分數< 515 AutoCAD繪製三視圖 EG Cube #3> ,各位若有需要的,也請告知>>>>再次感謝"
"CUpxi5svEeWw3Q42UmLfBQ","uXjIsZXoEeW9ThKFn3E1-Q",4b9c5f87231b0de568a4276322d24d8d80e5f627,2015-12-05 09:03:22.631,"互评哦 我还差515 614"
"jMV2JZogEeW9ThKFn3E1-Q","uXjIsZXoEeW9ThKFn3E1-Q",26a43bb35fdee450dabe77ba949e437fe527f8f1,2015-12-04 00:47:09.605,"你好，我还有一周的时间就要到证书截止日了，能不能麻烦也给我的作业514，515，614评个分，让我顺利拿到证书？感谢！"
"WX3Q0tL7EeWA6BIeMfBWVQ","uXjIsZXoEeW9ThKFn3E1-Q",fd5896c6b892c2f231f4277ee3b4cc47f1fd456f,2016-02-14 09:14:28.471,"求互评。。谢谢"
"9H5kIhrYEeWM2iIAC0KUpw","BdRGTxrSEeWmISIAC9QOog",ae89ded684bf65decd7caacb47d0920fa0455d62,2015-06-25 01:24:42.185,"中间的小圈圈位置不太对哦在正中间那条线上的(=@__@=)呐~~~~~~！"
"NDtPxBRBEeWmISIAC9QOog","5SbJOBQOEeWYoCIAC5MBcw",60b440c0ab969d9182ef05d71b288f4861a78fad,2015-06-16 16:03:18.64,"Good"
"TCuSxBUCEeWA7CIAC5WDNQ","5SbJOBQOEeWYoCIAC5MBcw",b5b08a4f878927603d70a4d8a39a1c6453763a94,2015-06-17 15:05:31.671,"我这网速也是醉了，图裂了。"
"KmuW-BUCEeWd3iIAC7VAtA","JVTWPhSJEeWmISIAC9QOog",8c6f923ffb1b812849438b5b3fb27cf7d179c7ac,2015-06-17 15:04:35.048,"没有文件，coursera传个文件太难了！难道又是gfw的事？我传了十几次才传上，试试bak文件"
"uDboiBU-EeWYoCIAC5MBcw","JVTWPhSJEeWmISIAC9QOog",a76710fabe2e4dc230b0c8b03178acb49a59e87d,2015-06-17 22:18:02.743,"同學，我有個小建議，不知道可不可行。\\n上傳很困難的話，也不要留空白。\\n把檔案放到像百度雲或dropbox等雲端，在這邊貼上連結，請同學去看。"
"adO2lhT6EeWd3iIAC7VAtA","JVTWPhSJEeWmISIAC9QOog",60b440c0ab969d9182ef05d71b288f4861a78fad,2015-06-17 14:09:05.453,"HAVEn't upload"
"GEBfSBYpEeWd3iIAC7VAtA","JVTWPhSJEeWmISIAC9QOog",6e7df10fefe3579832ddf2e2a5d0f01a5df7d983,2015-06-19 02:15:46.101,"没有文件哦，是不是操作出问题啦？"
"Bz9r4kJyEeWWIQr4OsvVww","goZqCkFkEeWBHArcQOD9cw",503cf4fbe26c110fe7043ce88efab6fc2a4295e2,2015-08-14 10:48:41.997,"求互评"
"B-J1qkiqEeWpgBJUo9Z-Uw","AlyMvUWDEeWSTg7F_5iDhQ",4d3a9a04fdc20d059abee801a7f2b2f53c822e4d,2015-08-22 08:44:41.859,"为什么我画的辅助线跟你们的不一样呢"
"jxIh3n3eEeWm8Qoa9oQ92w","Tcb9KXfEEeWb4g4qCdqdUQ",2360d068070278d2270335fc928d3fdea8cf07fc,2015-10-29 01:44:14.121,"感謝,煩請各位幫忙打分數< 515 AutoCAD繪製三視圖 EG Cube #3> ,各位若有需要的,也請告知>>>>再次感謝"
"snY1w6FdEeWacw7zR2f1aQ","pEZmEZkYEeWPmAru8qzZow",57f09e53f5e88187cb5d680d966f2747b67b9bb2,2015-12-13 05:52:30.279,"對不起，我看錯了。\\n你對二條曲線的比較，敘述得很清楚。"
"k3R9_Dj7EeWNVyIAC0uErA","8HZ6sjjEEeWPACIACw4G5w",503cf4fbe26c110fe7043ce88efab6fc2a4295e2,2015-08-02 09:48:06.65,"同学作业求互评"
"xOZZLTtUEeWnMCIAC9gGzQ","SQLc0zmWEeWV8SIACyyfnQ",503cf4fbe26c110fe7043ce88efab6fc2a4295e2,2015-08-05 09:31:37.139,"求互评"
"UotJfjznEeWidSIAC7TGaQ","QfgKRTmwEeWddiIAC9pDDA",503cf4fbe26c110fe7043ce88efab6fc2a4295e2,2015-08-07 09:33:12.464,"求互评"
"C5n-jF7TEeWDhgohTpATMw","3fIOd1yCEeWKwA728QcdyQ",8a358b620c4bbe2a01dd19407d3523bc31c9bdfa,2015-09-19 13:33:43.042,"evey good"
"Va9ukUNgEeWBcQqYSpqLgQ","-5C8LUKIEeWTMBKhOZsGeQ",96d5991aa421249bebd72b3c007c28b90e905f37,2015-08-15 15:14:33.815,"求互評喔！謝謝！"
"F8tSNWWoEeWyfQofQFHvoQ","OLl-l2IpEeWNhRIQkbjhXw",ce8ace619fad6c848fc000fc746f068da11d5dbc,2015-09-28 06:13:53.278,"我看不到圖"
"B-O_vjwEEeWeYyIAC1WQXA","9DSJCzT6EeWj5iIACwIAYw",ff01d7c5c8154846e73318cedbaf5c3382ef89e6,2015-08-06 06:26:11.457,"作业提交的晚希望帮忙评论，谢谢"
"9dVATSEoEeWYoCIAC5MBcw","pBeNYR7sEeWA7CIAC5WDNQ",2a3eebe990e56539dcb0940605c9b8366bc59234,2015-07-03 02:12:31.147,"煩請也幫忙review我的作業，謝謝"
"rI8fdyYJEeWeGSIACxeHVw","QmDmwSVWEeW_lSIAC0kOqg",46af763729efbf8c13d9760b8faabfb2dd81dfb2,2015-07-09 07:11:09.629,"怎么没有打开链接啊"
"SYwI0iX0EeWAsyIACnuV7A","QmDmwSVWEeW_lSIAC0kOqg",109ec0d7a686d12d080bf265600e65298f71dfe3,2015-07-09 04:38:04.083,"There is no link to any file..."
"MJmWTh8pEeWM2iIAC0KUpw","3J8WOR5tEeWA7CIAC5WDNQ",22d16c3b76bc5b2d79135f6624f573e0c5d7406b,2015-06-30 13:09:07.416,"多谢同学的赞美，☻"
"_QvLix7pEeWYoCIAC5MBcw","3J8WOR5tEeWA7CIAC5WDNQ",4c510107c8a74041cc2409357e064f6acca5845b,2015-06-30 05:36:42.629,"很有艺术气息的画面，赞一个~"
"nMDO3T2zEeWnMCIAC9gGzQ","XcMG5T2SEeW2ASIACxeTpg",298c4decf5e6d2964abba3b20e8e2da8f721c0d2,2015-08-08 09:55:34.299,"也请您评价一下我的作业... 万分感谢"
"DLed3kFPEeWTMBKhOZsGeQ","XcMG5T2SEeW2ASIACxeTpg",96d5991aa421249bebd72b3c007c28b90e905f37,2015-08-13 00:05:47.625,"煩請幫我評分喔! 謝謝"
"HHvQ6h-WEeWA7CIAC5WDNQ","vOmdYB4DEeWYoCIAC5MBcw",fd6874d9511eeeff54ae9d6b7426726d0cdc83a8,2015-07-01 02:08:48.81,"I love your handwriting"
"WTTLoirZEeWVxyIAC4UJMQ","q31XjSn2EeWIZyIAC0iPQg",98ba933261a69322f1c0307ec625c688b5b2d595,2015-07-15 10:07:49.757,"There is no pic"
"mnqSNioSEeWmViIAC5MTmg","q31XjSn2EeWIZyIAC0iPQg",31c659342b97eeb0eaea438994433876b29da0e9,2015-07-14 10:25:09.417,"?"
"gTsk_D3lEeWm9SIAC5HAew","q31XjSn2EeWIZyIAC0iPQg",9100f8760505eef636c80af4e8c230ea97fbc84a,2015-08-08 15:52:42.961,"沒有檔案喔"
"S9w6F0KhEeWBHArcQOD9cw","FuNd0kDREeWrDQoy5cGCEw",ff01d7c5c8154846e73318cedbaf5c3382ef89e6,2015-08-14 16:27:03.456,"希望可以帮忙评审作业，谢谢了"
