taiwan_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
6b3d90f912df717b4dcca95fb755cb45536200e5,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
91d6a7c88d58c114e3f176b9a898ce4f112adfc6,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
b7de57e830c9fdeb9695415ab763583a9d45d0f4,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
74707e9681fc47b517be3bbd6bc867b782ece404,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
4376eac67ea74fc5c3a4faaa2dd21c85aed0d5f1,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
35ebbe6dbb4a9e093ebb61fd39cae71e2e48401a,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
50048c797ca86772a7a326be8e5661783d2c16a1,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
ce4d32b8c7e483ce9d0e5cfbb731bc70f2085324,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
add6df8ee6a6c4eb76aad6d058a111495120e2fc,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
2442fc53c98c5c3d0715f24cfc0bd6d7921b227c,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
76d9c03c97ff640be6148f2816a8a981cf8969bc,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
75b944442564d83993261bceb50bff40a33b40dc,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
75bc37dedc9e9c3a63587c4ddc12b4f25ea04ca4,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
9e7677c1f0f5a32e756c1c071bc976546c615987,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
aaa94db3acb2a8697de861c1f8db853c636e05fb,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
3011db3acdc5843aff7bf7d967cf69ff630bfa88,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
1f56aff21b712341ed7a3cdd4918d7f577057a1f,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
cdd74a773043f4aa7487516d26652aea3dea2821,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
83d0edc14e577a0351c9f8cc0c25f6d45a4d0618,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
5defaf2a1bd4e2310362125340c030012b781ffb,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
ad9289b8b17b61401a25696bad2c49f470ca5480,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
9f9c7516b94db82c98871d8fca6cfa19b28b3b70,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
88fa26003e2aa531c24a774bfa8c67fdd59a30c9,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
e5ac68a1cd8a0639ffb3baf90dddd5a6ff32ffad,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
3205c979f828324762af07ff709e56bcf0c7faec,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
43ef116b0f827a0e50f97121767d01e495ec840a,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
f9638ea363df3f7eb784afe3fc256c1737911b0e,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
7d925c3f366d98713688efda799ec45fbb9efbeb,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
7bed799681ddc251ddacb5f1d2f8224036cc729e,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
